76984071,Vilhena,RO,76984
14260970,Cássia dos Coqueiros,SP,14260
74685730,Goiânia,GO,74685
19960970,Campos Novos Paulista,SP,19960
24060027,Niterói,RJ,24060
76812754,Porto Velho,RO,76812
88590971,Anita Garibaldi,SC,88590
14230970,Serra Azul,SP,14230
58356970,Gurinhém,PB,58356
84600530,União da Vitória,PR,84600
13486653,Limeira,SP,13486
15828970,Palmares Paulista,SP,15828
70200001,Brasília,DF,70200
16078273,Araçatuba,SP,16078
62104972,Patriarca,CE,62104
05517040,São Paulo,SP,05517
44655970,Pé de Serra,BA,44655
08555135,Poá,SP,08555
63041082,Juazeiro do Norte,CE,63041
27220270,Volta Redonda,RJ,27220
48760970,Araci,BA,48760
06435350,Barueri,SP,06435
38743078,Patrocínio,MG,38743
76964116,Cacoal,RO,76964
56825970,Ibitiranga,PE,56825
40252430,Salvador,BA,40252
45052180,Vitória da Conquista,BA,45052
44086210,Feira de Santana,BA,44086
35902085,Itabira,MG,35902
04163005,São Paulo,SP,04163
25223460,Duque de Caxias,RJ,25223
62860970,Pindoretama,CE,62860
63560991,Acopiara,CE,63560
78080300,Cuiabá,MT,78080
65723970,Bernardo do Mearim,MA,65723
59513970,Itajá,RN,59513
69425970,Caapiranga,AM,69425
75145170,Anápolis,GO,75145
60762704,Fortaleza,CE,60762
89026305,Blumenau,SC,89026
29295970,Vargem Alta,ES,29295
58360970,Itabaiana,PB,58360
36940970,Santana do Manhuaçu,MG,36940
39553972,Ninheira,MG,39553
30575834,Belo Horizonte,MG,30575
70210550,Brasília,DF,70210
20766721,Rio de Janeiro,RJ,20766
27475970,Lídice,RJ,27475
45075300,Vitória da Conquista,BA,45075
96209260,Rio Grande,RS,96209
03281904,São Paulo,SP,03281
30518082,Belo Horizonte,MG,30518
69911784,Rio Branco,AC,69911
60540178,Fortaleza,CE,60540
30111070,Belo Horizonte,MG,30111
59012194,Natal,RN,59012
08504020,Ferraz de Vasconcelos,SP,08504
28615110,Nova Friburgo,RJ,28615
76821240,Porto Velho,RO,76821
23830030,Itaguaí,RJ,23830
24858084,Itaboraí,RJ,24858
60020351,Fortaleza,CE,60020
69103280,Itacoatiara,AM,69103
24813063,Itaboraí,RJ,24813
83829068,Fazenda Rio Grande,PR,83829
37022562,Varginha,MG,37022
36400049,Conselheiro Lafaiete,MG,36400
22610070,Rio de Janeiro,RJ,22610
71020001,Brasília,DF,71020
08590505,Itaquaquecetuba,SP,08590
07114230,Guarulhos,SP,07114
54735130,São Lourenço da Mata,PE,54735
53429000,Paulista,PE,53429
25745090,Petrópolis,RJ,25745
35424390,Mariana,MG,35424
79815170,Dourados,MS,79815
65904293,Imperatriz,MA,65904
25904876,Magé,RJ,25904
78553576,Sinop,MT,78553
70336500,Brasília,DF,70336
79020907,Campo Grande,MS,79020
12295230,Caçapava,SP,12295
12233001,São José dos Campos,SP,12233
74063360,Goiânia,GO,74063
74330010,Goiânia,GO,74330
96060160,Pelotas,RS,96060
13150292,Cosmópolis,SP,13150
13176323,Sumaré,SP,13176
37135136,Alfenas,MG,37135
26060672,Nova Iguaçu,RJ,26060
28621650,Nova Friburgo,RJ,28621
87080185,Maringá,PR,87080
74480060,Goiânia,GO,74480
29050765,Vitória,ES,29050
13422212,Piracicaba,SP,13422
29900174,Linhares,ES,29900
75100725,Anápolis,GO,75100
32670760,Betim,MG,32670
88813095,Criciúma,SC,88813
77435225,Gurupi,TO,77435
89220815,Joinville,SC,89220
74890806,Goiânia,GO,74890
32046302,Contagem,MG,32046
69308055,Boa Vista,RR,69308
72865001,Novo Gama,GO,72865
24802750,Itaboraí,RJ,24802
94480500,Viamão,RS,94480
51021282,Recife,PE,51021
76808644,Porto Velho,RO,76808
88164210,Biguaçu,SC,88164
87065200,Maringá,PR,87065
74853120,Goiânia,GO,74853
88160286,Biguaçu,SC,88160
54250183,Jaboatão dos Guararapes,PE,54250
76824000,Porto Velho,RO,76824
35183065,Timóteo,MG,35183
06655750,Itapevi,SP,06655
59090276,Natal,RN,59090
22750440,Rio de Janeiro,RJ,22750
60533500,Fortaleza,CE,60533
68627488,Paragominas,PA,68627
69906154,Rio Branco,AC,69906
31975200,Belo Horizonte,MG,31975
37559470,Pouso Alegre,MG,37559
08742320,Mogi das Cruzes,SP,08742
09842062,São Bernardo do Campo,SP,09842
60540605,Fortaleza,CE,60540
24737547,São Gonçalo,RJ,24737
29156079,Cariacica,ES,29156
